accounts_datadictionary_1761017422058.csv
ColumnName,DisplayName,Description,SuggestedDataType,SampleValue,Sensitivity,Notes
ACNTS_MINOR_ACNT,Minor Account,Indicates if the account holder is a minor.,CHAR(1),N,High (PII),Impacts KYC/mandate rules.
ACNTS_POWER_OF_ATTORNEY,Power of Attorney,Indicates presence of POA/mandate; could store POA reference.,VARCHAR(30),POA-REF-001,High (PII),Some cores use flag+reference; confirm implementation.
ACNTS_CONNP_INV_NUM,Connected/Investment Ref,Connected party or investment reference number (bank-specific).,VARCHAR(30),CONN12345,Medium (Operational),Definition varies; confirm with parameter docs.
ACNTS_NUM_SIG_COMB,# Signature Combinations,Number of signature combinations required for operations.,INT,1,Low,Used with joint/mandate logic.
ACNTS_TELLER_OPERN,Teller Operations Enabled,Whether teller/counter transactions are allowed.,CHAR(1),Y,Low,Y/N.
ACNTS_ATM_OPERN,ATM Operations Enabled,Whether ATM transactions are allowed.,CHAR(1),Y,Low,Y/N.
ACNTS_CALL_CENTER_OPERN,Call Center Ops Enabled,Whether call center transactions/requests are allowed.,CHAR(1),Y,Low,Y/N.
ACNTS_INET_OPERN,Internet Banking Enabled,Whether Internet banking access/transactions are allowed.,CHAR(1),Y,Low,Y/N.
ACNTS_CR_CARDS_ALLOWED,Credit Cards Allowed,Whether the customer/account is eligible for credit card linkage.,CHAR(1),N,Low,Y/N; sometimes informational.
ACNTS_KIOSK_BANKING,Kiosk Banking Enabled,Whether kiosk/self-service banking is allowed.,CHAR(1),N,Low,Y/N.
ACNTS_SMS_OPERN,SMS Banking Enabled,Whether SMS alerts/transactions are enabled.,CHAR(1),Y,Low,Y/N; may tie to alert preferences.
ACNTS_OD_ALLOWED,Overdraft Allowed,Whether overdraft facility is allowed/linked.,CHAR(1),N,Low,Y/N; OD terms configured elsewhere.
ACNTS_CHQBK_REQD,Chequebook Required,Whether chequebook is requested/issued for the account.,CHAR(1),Y,Low,Y/N.
ACNTS_ARM_CRM,ARM/CRM Code,Assigned Relationship Manager (ARM) or CRM code.,VARCHAR(20),RM102,Medium (Internal),FK to staff/CRM master.
ACNTS_ARM_ROLE,ARM Role,Role/title of the assigned relationship manager.,VARCHAR(20),SRM,Low,Bank-specific enumerations.
ACNTS_BUSDIVN_CODE,Business Division Code,Business unit/division owning the account.,VARCHAR(10),RETAIL,Low,Reference to org structure.
ACNTS_CREATION_STATUS,Creation Status,"Lifecycle status of the account record (e.g., Pre-Open, Active).",VARCHAR(20),ACTIVE,Low,Status transitions controlled by workflow.
ACNTS_BASE_DATE,Base Date,Base/reference date for interest computation or charges.,DATE,15/3/2020,Low,Varies by product; confirm logic.
ACNTS_INOP_ACNT,Inoperative Flag,Indicates if the account is classified as inoperative.,CHAR(1),N,Low,Y/N; based on dormancy rules.
ACNTS_DORMANT_ACNT,Dormant Flag,Indicates if the account is dormant.,CHAR(1),N,Low,Y/N; often overlaps with inoperative.
ACNTS_LAST_TRAN_DATE,Last Transaction Date,Date of the last financial/non-financial transaction.,DATE,30/8/2025,Low,Used for dormancy aging.
ACNTS_NONSYS_LAST_DATE,Last Non-System Txn Date,"Last transaction date not originated by the core (e.g., migration/manual).",DATE,1/3/2020,Low,Bank-specific usage.
ACNTS_INT_CALC_UPTO,Interest Calc. Up To,Date up to which interest has been calculated.,DATE,30/6/2025,Low,Batch-calculated.
ACNTS_MMB_INT_ACCR_UPTO,MMB Interest Accrual Up To,Date up to which interest has accrued (MMB/bank-specific logic).,DATE,30/6/2025,Low,MMB meaning varies; confirm with product setup.
ACNTS_INT_ACCR_UPTO,Interest Accrual Up To,Date up to which interest accruals are recorded.,DATE,30/6/2025,Low,Accruals posted to GL.
ACNTS_INT_DBCR_UPTO,Interest Debit/Credit Up To,Date up to which interest was actually debited/credited to the account.,DATE,30/6/2025,Low,Posting date vs accrual date.
ACNTS_TRF_TO_OVERDUE,Transfer to Overdue,Flag/date indicator for transfer of amounts to overdue status.,CHAR(1),N,Low,Y/N or accompanied by date in other tables.
ACNTS_DB_FREEZED,Debit Frozen,Indicates if debits are frozen (no debits allowed).,CHAR(1),N,Low,Y/N; due to legal/AML/ops hold.
ACNTS_CR_FREEZED,Credit Frozen,Indicates if credits are frozen (no credits allowed).,CHAR(1),N,Low,Y/N; rare.
ACNTS_CONTRACT_BASED_FLG,Contract-Based Flag,"Marks accounts governed by a specific contract (e.g., corporate pooling).",CHAR(1),N,Low,Y/N; bank-specific.
ACNTS_ACST_UPTO_DATE,Acct Status Up To Date,Date up to which account status was updated/validated.,DATE,1/9/2025,Low,Batch derived; used in reporting.
ACNTS_LAST_STMT_NUM,Last Statement Number,The last generated statement/run sequence number.,INT,42,Low,Increments per cycle.
ACNTS_LAST_CHQBK_ISSUED,Last Chequebook Issued,Identifier/series of last chequebook issued.,VARCHAR(30),CHQ-2024-015,Low,May be series start/end.
ACNTS_CLOSURE_DATE,Closure Date,Date the account was closed.,DATE,,Low,Null if active.
ACNTS_PREOPEN_ENTD_BY,Pre-Open Entered By,User who keyed the pre-open record.,VARCHAR(30),USR1001,Medium (Internal),Audit trail.
ACNTS_PREOPEN_ENTD_ON,Pre-Open Entered On,Timestamp the pre-open record was entered.,DATETIME,10/3/2020 10:21,Low,Audit trail.
ACNTS_PREOPEN_LAST_MOD_BY,Pre-Open Last Modified By,User who last modified the pre-open record.,VARCHAR(30),USR1002,Medium (Internal),Audit trail.
ACNTS_PREOPEN_LAST_MOD_ON,Pre-Open Last Modified On,Timestamp of last modification to pre-open record.,DATETIME,12/3/2020 16:05,Low,Audit trail.
ACNTS_ENTD_BY,Entered By,User who created the account record.,VARCHAR(30),USR2001,Medium (Internal),Audit trail.
ACNTS_ENTD_ON,Entered On,Timestamp the account record was created.,DATETIME,15/3/2020 09:00,Low,Audit trail.
ACNTS_LAST_MOD_BY,Last Modified By,User who last modified the account record.,VARCHAR(30),USR2002,Medium (Internal),Audit trail.
ACNTS_LAST_MOD_ON,Last Modified On,Timestamp of last modification to the account record.,DATETIME,20/11/2024 14:30,Low,Audit trail.
ACNTS_AUTH_BY,Authorized By,User who authorized the account record.,VARCHAR(30),SUP1001,Medium (Internal),Maker-checker control.
ACNTS_AUTH_ON,Authorized On,Timestamp of authorization.,DATETIME,15/3/2020 11:30,Low,Maker-checker control.
TBA_MAIN_KEY,TBA Main Key,System main unique key for TBA/core banking table (replication/sync).,VARCHAR(64),TBA-AC-0000001,Low,System generated; do not alter.
ACNTS_TENOR,Tenor,Tenor value for term products.,INT,365,Low,Used with TENOR_DMY.
ACNTS_TENOR_DMY,Tenor Unit (D/M/Y),"Tenor unit: D=Days, M=Months, Y=Years.",CHAR(1),D,Low,Enumerated: D/M/Y.
ACNTS_MATURITY_DATE,Maturity Date,Maturity date for term deposits/loan schedules.,DATE,15/3/2021,Low,Derived from opening date + tenor.
ACNTS_SALARY_PAY_AC,Salary Payout Account,Indicates/links salary payout arrangements for this account.,CHAR(1),N,Low,Y/N or link; bank-specific.
ACNTS_APPL_NUM,Application Number,Origination/application reference number.,VARCHAR(30),APP-2020-000123,Medium (PII),From onboarding system.
ACNTS_SLIPS_DIRECT_DB,Direct Debit (Slips),Whether direct debit via slips/mandates is allowed.,CHAR(1),Y,Low,Y/N; mandates stored elsewhere.
ACNTS_UDCH_CODE,UDCH Code,User-Defined Characteristic/Charge code.,VARCHAR(20),UD01,Low,Bank-specific; verify meaning.
ACNTS_UDCH_SCHEME,UDCH Scheme,User-defined characteristic/charge scheme.,VARCHAR(20),UDSCH01,Low,Bank-specific; verify meaning.
ACNTS_ESCHEAT_ACNT,Escheat Account,Flag/indicator that the account is escheatable or linked escheat account.,CHAR(1),N,Low,Y/N; escheat processing handled by separate batch.
ACNTS_LAST_DB_INT_RECOVRY_DATE,Last Debit Interest Recovery,"Date on which debit interest was last recovered (e.g., loans/OD).",DATE,30/6/2025,Low,Spelling varies by core; confirm source.
ACNTS_MBLBNK_OPERN,Mobile Banking Enabled,Whether mobile banking channel is enabled.,CHAR(1),Y,Low,Y/N.
